level, asteroid size, x-velocity max, y-velocity max
1, 5, 2, 2
1, 4, 3, 3
2, 5, 3, 3
2, 4, 4, 4
2, 3, 3, 3
3, 5, 2, 2
3, 4, 2, 2
3, 3, 3, 3
3, 4, 2, 4
3, 3, 2, 2
4, 5, 2, 2
4, 4, 2, 2
4, 5, 2, 2
4, 5, 2, 2
4, 4, 2, 2
4, 5, 2, 2
4, 3, 2, 2
5, 3, 8, 8
5, 4, 10, 10
5, 3, 9, 9
6, 5, 4, 4
6, 4, 5, 5
6, 4, 7, 6
6, 3, 5, 4
6, 2, 2, 2
7, 5, 3, 4
7, 5, 8, 6
7, 4, 6, 9
7, 3, 2, 2
7, 2, 8, 2
7, 2, 7, 6
8, 2, 20, 20
8, 5, 5, 4
8, 4, 3, 3
8, 3, 3, 3
8, 3, 3, 3
8, 4, 3, 3
